ID,Name,Age,Gender,City,Country,CreditCard,FullAddress,UserSignUpDate,UserLastPurchaseDate,UserStatus,UserTotalPurchases,UserSegment,UserLocation,UserSourceType,UserLastLoginDate,UserPurchaseFrequency,ProductName,Category,Subcategory,Price,DatePurchase,Quantity,Rating,Comment
1359,Richard Santos,-4,M,Carlyport,Western Sahara,5553260117503185,6667 Lynch Rue Suite 965; Brooketon; IN 01329,2022-03-20,2023-03-21,Churned,11,High Value,East Todd,Paid Ads,2023-08-18,Yearly,JacketWear,Clothing,Jacket,446,2022-11-09,7,4,Others home ever cut table.
302,Dwayne Williams,20,M,South Lisa,Lithuania,2228873502469853,33559 Brian Track Suite 527; Stewartmouth; MN 67453,2022-08-22,2022-11-20,Churned,13,High Value,East Aarontown,Paid Ads,2023-01-04,Yearly,ComfortTable,Furniture,Table,491,2021-10-31,8,0,Trip coach fill western.
1262,Barbara Austin,0,M,North Joseph,Togo,2273639921569209,2212 Colon Common; Blanchardburgh; DE 10240,2021-11-12,2023-01-28,Churned,9,Frequent Shopper,Cookville,Paid Ads,2023-03-27,Yearly,SofaPlus,Furniture,Sofa,659,2020-11-09,6,3,Seven strong garden push group walk view.
1223,Lori Martinez,77,M,New Danielleland,Serbia,2253756616128754,2527 Jones Parks Apt. 444; Krystalberg; AZ 51929,2022-11-08,2023-03-15,Churned,12,High Value,Shermanport,Referral,2023-07-27,Yearly,UltraSpeaker,Electronics,Speaker,947,2022-06-14,-1,4,Seat foot step.
733,Matthew Ortiz,80,F,North Ian,Malta,2253995047456331,5806 Adams Manor Suite 176; Tommyview; NC 96144,2023-03-08,2023-08-14,Active,1,Occasional Shopper,Williamsfort,Organic Search,2023-08-18,Monthly,JacketFits,Clothing,Jacket,625,2020-10-30,-4,4,Several computer you such mention soldier material born.
388,Chase Watts,-4,M,Lake Johnathan,Ireland,2509681752169069,20894 Ramos Springs Apt. 148; West Brandonhaven; UT 81660,2022-06-16,2023-05-08,Churned,4,Occasional Shopper,North Stephanie,Referral,2023-06-25,Yearly,ProPants,Clothing,Pants,-32,2022-09-25,1,6,Official worker myself trip beat.
235,Carolyn Rivera,150,F,North Davidfort,Swaziland,2250710741098740,3574 Campbell Throughway Suite 880; Port Kennethfurt; DE 30652,2022-03-04,2023-02-20,Churned,11,High Value,South Maria,Referral,2023-02-24,Yearly,Non-fictionTales,Books,Non-fiction,144,2021-09-03,1,4,Democratic money build involve bag.
1245,Jill Johnson,89,F,North Scott,Uganda,2245169957805710,32568 Jamie Vista; Christinaport; ME 57083,2022-02-27,2023-01-21,Churned,14,High Value,Danielshaven,Organic Search,2023-08-19,Yearly,FictionTales,Books,Fiction,-45,2022-11-16,-5,5,Discover film agency soon accept.
267,Brandi Andrews,150,M,North Andrewport,Cook Islands,2707663155874909,5996 Hernandez Drives Apt. 536; East Mariahberg; SD 65169,2023-06-11,2023-08-22,Active,15,High Value,South John,Organic Search,2023-08-22,Monthly,TastyVegetables,Grocery,Vegetables,-44,2020-09-27,-1,2,And expect event network skin family support.
305,Lauren Johnson,150,F,Kathryntown,Bahrain,2240416869751499,09531 Evans Island; East Kristina; DE 42880,2022-04-07,2023-03-16,Churned,14,High Value,Lake Hannahburgh,Paid Ads,2023-05-16,Yearly,LaptopPro,Electronics,Laptop,54,2023-01-17,0,4,Real book drug human up record number.
